COD_CURSO,NOME_UNIDADE,NUM_VERSAO,DESCR_ESTRUTURA,COD_DISCIPLINA,NOME_DISCIPLINA,COD_PRE_REQ,NOME_PRE_REQ,TIPO_REQUISITO,NUM_REFERENCIA,ITEM_TABELA,ID_ESTRUTURA_CUR,PERIODO_IDEAL
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI163,Projeto de Software,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI163,Projeto de Software,CM046,INTRODUCAO A ALGEBRA,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI163,Projeto de Software,CM045,Geometria Analítica,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI163,Projeto de Software,CM005,Álgebra Linear,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI163,Projeto de Software,CI237,MATEMATICA DISCRETA,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI163,Projeto de Software,CI212,ORGANIZACAO E ARQUIT DE COMPUTADORES,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI163,Projeto de Software,CI210,PROJETOS DIGITAIS E MICROPROCESSADORES,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI163,Projeto de Software,CI166,Metodologia Científica,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI163,Projeto de Software,CI068,CIRCUITOS LOGICOS,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI163,Projeto de Software,CI067,OFICINA DE COMPUTACAO,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI163,Projeto de Software,CI064,SOFTWARE BASICO I,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI163,Projeto de Software,CI057,ALGORITMOS E ESTRUTURAS DE DADOS III,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI163,Projeto de Software,CI056,ALGORITMOS E ESTRUTURAS DE DADOS II,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI163,Projeto de Software,CM201,CALCULO DIFERENCIAL E INTEGRAL I,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI164,Introdução à Computação Científica,CM201,CALCULO DIFERENCIAL E INTEGRAL I,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI164,Introdução à Computação Científica,CM202,CALCULO DIFERENCIAL E INTEGRAL II,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI164,Introdução à Computação Científica,CM046,INTRODUCAO A ALGEBRA,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI164,Introdução à Computação Científica,CM045,Geometria Analítica,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI164,Introdução à Computação Científica,CM005,Álgebra Linear,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI164,Introdução à Computação Científica,CI237,MATEMATICA DISCRETA,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI164,Introdução à Computação Científica,CI212,ORGANIZACAO E ARQUIT DE COMPUTADORES,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI164,Introdução à Computação Científica,CI210,PROJETOS DIGITAIS E MICROPROCESSADORES,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI164,Introdução à Computação Científica,CI166,Metodologia Científica,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI164,Introdução à Computação Científica,CI068,CIRCUITOS LOGICOS,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI164,Introdução à Computação Científica,CI067,OFICINA DE COMPUTACAO,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI164,Introdução à Computação Científica,CI064,SOFTWARE BASICO I,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI164,Introdução à Computação Científica,CI057,ALGORITMOS E ESTRUTURAS DE DADOS III,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI164,Introdução à Computação Científica,CI056,ALGORITMOS E ESTRUTURAS DE DADOS II,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI164,Introdução à Computação Científica,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI165,Análise de Algoritmos,CM202,CALCULO DIFERENCIAL E INTEGRAL II,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI165,Análise de Algoritmos,CM201,CALCULO DIFERENCIAL E INTEGRAL I,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI165,Análise de Algoritmos,CI057,ALGORITMOS E ESTRUTURAS DE DADOS III,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI165,Análise de Algoritmos,CI056,ALGORITMOS E ESTRUTURAS DE DADOS II,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI165,Análise de Algoritmos,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI165,Análise de Algoritmos,CI064,SOFTWARE BASICO I,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI165,Análise de Algoritmos,CI067,OFICINA DE COMPUTACAO,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI165,Análise de Algoritmos,CI068,CIRCUITOS LOGICOS,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI165,Análise de Algoritmos,CI166,Metodologia Científica,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI165,Análise de Algoritmos,CI210,PROJETOS DIGITAIS E MICROPROCESSADORES,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI165,Análise de Algoritmos,CI212,ORGANIZACAO E ARQUIT DE COMPUTADORES,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI165,Análise de Algoritmos,CI237,MATEMATICA DISCRETA,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI165,Análise de Algoritmos,CM005,Álgebra Linear,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI165,Análise de Algoritmos,CM045,Geometria Analítica,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI165,Análise de Algoritmos,CM046,INTRODUCAO A ALGEBRA,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI209,INTELIGENCIA ARTIFICIAL,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI209,INTELIGENCIA ARTIFICIAL,CI064,SOFTWARE BASICO I,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI209,INTELIGENCIA ARTIFICIAL,CI068,CIRCUITOS LOGICOS,Disciplina,,1,7406,6
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI209,INTELIGENCIA ARTIFICIAL,CI166,Metodologia Científica,Disciplina,,1,7406,6
